feature,importance
cat__calendar_event_Indigenous Peoples’ Day,7.767917832804492e-05
cat__calendar_event_Interview,0.00010574145223283658
cat__calendar_event_Juneteenth,0.000106830214373608
cat__calendar_event_Kamehameha Day,3.133937803423535e-05
cat__calendar_event_Kwanzaa,5.147382267946483e-05
cat__calendar_event_Labor Day,0.00016570663534962816
cat__calendar_event_Lecture,4.9793955433451514e-05
cat__calendar_event_Lei Day,9.065384895952743e-05
cat__calendar_event_Leif Erikson Day,9.652422063263368e-05
cat__calendar_event_Mardi Gras,0.00027870750269604554
cat__calendar_event_Marine Corps Birthday,2.250003186973067e-05
cat__calendar_event_Martin Luther King Jr. Day,0.00014835485997778008
cat__calendar_event_Meeting,8.198561400491441e-06
cat__calendar_event_Memorial Day,4.478954111609353e-05
cat__calendar_event_Midterm,8.178732315173482e-05
cat__calendar_event_Movie,0.0002214350728633941
cat__calendar_event_National Aviation Day,6.847298277366902e-05
cat__calendar_event_National Beer Day,0.0001814354474502227
cat__calendar_event_National Children’s Day,7.547043944927464e-05
cat__calendar_event_National Grandparents Day,0.00017431963787252765
cat__calendar_event_National Immigrants Day,0.00011281371855526328
cat__calendar_event_National Parents’ Day,0.00021050816165014613
cat__calendar_event_National Tartan Day,1.5152081206457996e-05
cat__calendar_event_National Vietnam War Veterans Day,0.00014841784632403524
cat__calendar_event_National Wear Red Day,3.414081415463714e-05
cat__calendar_event_Navy Birthday,5.647407470139276e-05
cat__calendar_event_Nevada Day,1.908772204698443e-05
cat__calendar_event_New Year’s Day,0.0005052469673542473
cat__calendar_event_New Year’s Eve,0.00032902332624723003
cat__calendar_event_Orthodox Easter,4.623782228318775e-05
cat__calendar_event_Palm Sunday,9.456007734461524e-05
cat__calendar_event_Party,0.0006507626792490957
cat__calendar_event_Patriot Day,3.454979570849578e-05
cat__calendar_event_Patriot’s Day,3.829459408466805e-05
cat__calendar_event_Pearl Harbor Remembrance Day,1.383139966475622e-05
cat__calendar_event_Pioneer Day,2.5836102310277032e-05
cat__calendar_event_Presentation,8.016459772532338e-05
cat__calendar_event_Presidents’ Day,5.3965515333902005e-05
cat__calendar_event_Prince Jonah Kūhiō Kalaniana‘ole Day,6.348248858264465e-05
cat__calendar_event_Renewal,3.0572342143696185e-05
cat__calendar_event_Rent Due,3.070443882632014e-05
cat__calendar_event_Reunion,4.633514915194929e-05
cat__calendar_event_Road Trip,8.045028506634027e-05
cat__calendar_event_Rosa Parks Day,0.00014534443137183582
cat__calendar_event_San Jacinto Day,0.00011356247035548493
cat__calendar_event_School Break,4.374813521782972e-05
cat__calendar_event_Small Business Saturday,7.980262792736311e-05
cat__calendar_event_Sports Game,0.00018773767919979167
cat__calendar_event_St. Nicholas’ Day,1.579429944718247e-05
cat__calendar_event_St. Patrick’s Day,0.00015710172193208498
cat__calendar_event_Statehood Day in Hawaii,6.954594058544533e-05
cat__calendar_event_Susan B. Anthony’s Birthday,0.00011921366807209809
cat__calendar_event_Sweetest Day,6.693128996032513e-05
cat__calendar_event_Tax,4.569243954404632e-05
cat__calendar_event_Texas Independence Day,9.552248661475909e-05
cat__calendar_event_Thanksgiving,0.00033429769193432326
cat__calendar_event_Training,4.124053322049484e-05
cat__calendar_event_Unity Day,5.293089702550751e-05
cat__calendar_event_Valentine’s Day,0.00039291627014766454
cat__calendar_event_Veterans Day,2.7468683690212234e-05
cat__calendar_event_Victory Day,2.9600412382542273e-05
cat__calendar_event_Wedding,0.0003949602613968471
cat__calendar_event_Women’s Equality Day,2.07634773689811e-05
cat__calendar_event_Yoga,4.505069616720995e-05
cat__calendar_event_none,0.09246604778682752
cat__contacts_count_0,0.1371674316697355
cat__contacts_count_1,0.03614974192617341
cat__contacts_count_10,0.009690150762250202
cat__contacts_count_10+,0.013002490594692074
cat__contacts_count_2,0.018526297356527978
cat__contacts_count_3,0.008335493517780125
cat__contacts_count_4,0.007555589168132455
cat__contacts_count_5,0.0167047314706835
cat__contacts_count_6,0.012606725051191597
cat__contacts_count_7,0.010029159740474209
cat__contacts_count_8,0.01074890896864561
cat__contacts_count_9,0.006857942090794845
bin__calendar_active,0.08788873302617423
bin__pref_place,0.19335988309403745
bin__pref_calendar_event,0.06691241535100348
bin__pref_contacts,0.146773786400405
num__hour,0.031601377086172146
