user_id,d_o_w,hour,day_part,location,calendar_active,calendar_event,contacts_count,pref_place,pref_calendar_event,pref_contacts,reminder
u_061867,6,9,Morning,drugstore,1,Tax,3,0,1,0,1
u_144843,6,8,Morning,jewelry_store,1,Small Business Saturday,2,0,0,1,1
u_058664,5,14,Early Afternoon,library,0,none,4,1,0,0,1
u_069125,5,18,Dusk,laundry,0,none,3,0,0,0,1
u_171754,4,16,Afternoon,library,1,Victory Day,1,0,1,0,1
u_091017,6,20,Evening,bowling_alley,1,Leif Erikson Day,0,1,0,0,1
u_034588,5,11,Late Morning,hardware_store,1,Rosa Parks Day,0,0,0,0,0
u_034399,2,16,Afternoon,painter,0,none,1,1,0,0,1
u_065572,4,12,Noon or Midday,parking,1,Valentine’s Day,1,0,0,0,1
u_062978,6,14,Early Afternoon,hair_care,0,none,0,0,0,0,0
u_056076,1,11,Late Morning,train_station,1,Counseling,1,0,0,0,0
u_189098,5,9,Morning,rv_park,0,none,1,0,0,0,0
u_041890,4,11,Late Morning,police,0,none,5,0,0,0,1
u_008677,5,19,Early Evening,courthouse,1,Leif Erikson Day,0,0,0,1,1
u_018422,5,11,Late Morning,mosque,1,Evacuation Day,6,0,1,0,1
u_138831,0,12,Noon or Midday,veterinary_care,1,Day After Christmas Day,4,0,0,1,1
u_116846,6,16,Afternoon,car_repair,1,Cinco de Mayo,1,0,0,0,1
u_076001,4,9,Morning,secondary_school,1,National Parents’ Day,0,1,1,0,1
u_051083,1,10,Late Morning,church,1,Mardi Gras,8,0,1,0,1
u_111677,0,13,Early Afternoon,bakery,0,none,1,0,0,0,1
u_007111,3,15,Afternoon,travel_agency,0,none,2,0,0,0,1
u_094568,4,18,Dusk,furniture_store,1,Women’s Equality Day,4,0,0,0,1
u_129191,3,12,Noon or Midday,university,0,none,3,0,0,0,0
u_053062,5,13,Early Afternoon,fire_station,1,National Children’s Day,4,0,0,0,1
u_142991,2,17,Late Afternoon,spa,1,Constitution Day and Citizenship Day,1,1,0,1,1
u_192352,5,18,Dusk,moving_company,1,Class,1,1,1,1,1
u_066866,1,20,Evening,car_rental,1,Halloween,2,0,0,0,1
u_013797,4,19,Early Evening,library,1,Valentine’s Day,0,1,0,0,1
u_042893,0,18,Dusk,amusement_park,0,none,8,0,0,1,1
u_094483,2,23,Night,bar,0,none,10+,0,0,0,1
u_071699,1,19,Early Evening,courthouse,1,National Aviation Day,0,0,0,0,0
u_007301,2,16,Afternoon,electronics_store,1,Feast of St. Francis of Assisi,1,0,0,0,1
u_039067,5,15,Afternoon,city_hall,0,none,1,0,0,0,0
u_189079,3,19,Early Evening,rv_park,0,none,6,0,0,0,1
u_039625,3,20,Evening,funeral_home,1,Kamehameha Day,0,0,0,0,0
u_129815,1,20,Evening,bar,1,Day After Thanksgiving,6,0,1,0,1
u_195237,2,15,Afternoon,bowling_alley,1,Hotel,0,0,1,0,1
u_163844,2,19,Early Evening,pharmacy,0,none,1,0,0,1,1
u_023128,2,6,Early Morning,transit_station,0,none,0,1,0,0,1
u_097818,1,9,Morning,subway_station,0,none,4,0,0,1,1
u_045838,5,10,Late Morning,lodging,0,none,1,0,0,0,0
u_189361,1,16,Afternoon,meal_takeaway,1,Armed Forces Day,2,0,0,0,1
u_176431,6,10,Late Morning,aquarium,1,Counseling,10,1,0,0,1
u_010767,3,15,Afternoon,casino,0,none,1,1,0,0,1
u_019708,2,14,Early Afternoon,zoo,1,Birthday,1,0,0,0,1
u_179521,5,11,Late Morning,beauty_salon,1,Patriot Day,8,0,0,1,1
u_092162,1,13,Early Afternoon,roofing_contractor,0,none,0,0,0,1,1
u_138186,0,19,Early Evening,car_dealer,0,none,0,0,0,0,0
u_153556,0,16,Afternoon,store,1,National Children’s Day,1,0,0,1,1
u_182951,1,16,Afternoon,car_rental,0,none,1,1,0,0,1
u_052063,1,10,Late Morning,restaurant,1,Black Friday,0,1,0,0,1
u_083313,6,15,Afternoon,beauty_salon,0,none,0,0,0,1,1
u_191924,3,13,Early Afternoon,insurance_agency,0,none,10+,0,0,0,1
u_133549,6,19,Early Evening,locksmith,0,none,3,1,0,0,1
u_119049,1,12,Noon or Midday,gym,0,none,0,0,0,0,0
u_089255,5,10,Late Morning,city_hall,1,Inauguration Day,0,0,0,0,0
u_184810,5,9,Morning,beauty_salon,1,Armed Forces Day,0,0,1,0,1
u_017852,0,20,Evening,beauty_salon,1,Easter,1,0,0,0,1
u_009080,0,18,Dusk,movie_rental,0,none,3,1,0,0,1
u_101424,0,8,Morning,bowling_alley,1,Lei Day,1,0,0,0,1
u_149806,6,19,Early Evening,beauty_salon,0,none,1,0,0,0,0
u_044143,2,18,Dusk,art_gallery,1,National Immigrants Day,4,0,0,0,1
u_034658,2,19,Early Evening,spa,1,Booster,6,0,1,0,1
u_061170,3,19,Early Evening,accounting,1,Interview,1,0,0,0,1
u_158142,4,15,Afternoon,book_store,0,none,0,0,0,1,1
u_094040,3,10,Late Morning,convenience_store,1,Wedding,0,0,0,1,1
u_060053,4,9,Morning,secondary_school,1,Independence Day,1,1,0,1,1
u_043251,5,17,Late Afternoon,bowling_alley,1,National Vietnam War Veterans Day,10+,0,0,0,1
u_049811,3,11,Late Morning,doctor,0,none,0,0,0,0,0
u_079465,3,10,Late Morning,courthouse,1,Concert,0,1,0,0,1
u_006531,2,12,Noon or Midday,book_store,1,Palm Sunday,0,0,1,0,1
u_193670,0,15,Afternoon,school,1,Tax,1,0,0,0,0
u_135354,3,12,Noon or Midday,car_rental,0,none,1,0,0,0,0
u_167461,5,20,Evening,book_store,1,Unity Day,0,0,1,0,1
u_162593,1,13,Early Afternoon,courthouse,0,none,1,1,0,0,1
u_199726,4,14,Early Afternoon,transit_station,0,none,2,0,0,0,1
u_101268,5,15,Afternoon,shoe_store,0,none,2,0,0,0,1
u_096850,2,14,Early Afternoon,car_repair,1,National Beer Day,0,1,1,0,1
u_125713,2,22,Night,bar,0,none,10,0,0,0,1
u_000470,5,16,Afternoon,aquarium,1,Martin Luther King Jr. Day,0,0,1,0,1
u_021169,0,21,Late Evening,subway_station,1,Training,2,0,0,0,1
u_117419,1,19,Early Evening,church,1,Pioneer Day,0,0,0,0,1
u_030528,3,10,Late Morning,light_rail_station,1,Training,1,1,1,0,1
u_000093,0,3,Night,bowling_alley,1,National Immigrants Day,1,0,1,0,1
u_025260,5,8,Morning,restaurant,0,none,6,0,0,0,1
u_149537,3,17,Late Afternoon,furniture_store,1,Yoga,2,0,0,0,1
u_066322,6,12,Noon or Midday,bakery,1,Pioneer Day,10+,0,0,0,1
u_133208,2,8,Morning,florist,1,Feast of St. Francis of Assisi,1,0,1,0,1
u_087755,6,18,Dusk,lodging,1,Class,0,0,0,1,1
u_153531,0,13,Early Afternoon,painter,0,none,4,0,0,0,0
u_025037,2,9,Morning,amusement_park,1,Columbus Day,7,0,0,0,1
u_060594,1,15,Afternoon,lodging,1,Flight,1,0,0,1,1
u_016261,0,10,Late Morning,travel_agency,1,Constitution Day and Citizenship Day,0,0,0,0,0
u_081716,6,18,Dusk,museum,0,none,6,0,0,0,1
u_050331,5,9,Morning,campground,0,none,0,0,0,0,0
u_099007,2,10,Late Morning,city_hall,0,none,0,0,0,0,0
u_059475,1,8,Morning,hindu_temple,1,National Wear Red Day,0,1,0,0,1
u_137676,0,20,Evening,furniture_store,1,Indigenous Peoples’ Day,0,0,0,0,1
u_033229,4,17,Late Afternoon,clothing_store,1,Father’s Day,1,0,1,0,1
u_031060,6,15,Afternoon,car_wash,1,Mardi Gras,1,0,0,0,1
u_181504,2,13,Early Afternoon,cemetery,1,Doctor Appointment,5,0,0,1,1
u_185667,0,14,Early Afternoon,liquor_store,0,none,0,1,0,1,1
u_068501,4,12,Noon or Midday,laundry,1,Lecture,1,0,0,0,0
u_027568,2,10,Late Morning,locksmith,1,Checkup,3,0,0,0,1
u_153535,3,20,Evening,gym,0,none,0,0,0,0,0
u_003430,4,9,Morning,supermarket,1,America Recycles Day,7,0,0,0,1
u_103414,6,17,Late Afternoon,lodging,1,Dentist Appointment,1,1,0,0,1
u_078463,3,9,Morning,car_wash,1,Orthodox Easter,0,0,0,0,0
u_066894,0,11,Late Morning,painter,1,Midterm,8,0,1,0,1
u_083142,1,10,Late Morning,plumber,1,Victory Day,7,1,0,0,1
u_141238,5,16,Afternoon,meal_delivery,1,Navy Birthday,0,0,0,0,1
u_194211,5,10,Late Morning,electrician,1,Road Trip,3,1,0,0,1
u_185690,6,17,Late Afternoon,university,0,none,2,0,0,1,1
u_054487,2,13,Early Afternoon,electronics_store,0,none,0,0,0,0,0
u_091049,0,14,Early Afternoon,jewelry_store,0,none,0,0,0,0,0
u_090256,3,12,Noon or Midday,insurance_agency,0,none,0,1,0,0,1
u_021335,5,15,Afternoon,museum,1,Nevada Day,2,0,0,0,1
u_034634,1,20,Evening,locksmith,1,Cyber Monday,3,0,0,0,1
u_060146,3,13,Early Afternoon,primary_school,1,Birthday,0,0,0,0,1
u_184095,0,16,Afternoon,courthouse,0,none,6,0,0,0,1
u_153215,2,17,Late Afternoon,plumber,0,none,1,0,0,0,0
u_172935,3,7,Morning,school,1,National Immigrants Day,0,0,0,0,0
u_187977,2,12,Noon or Midday,florist,0,none,0,0,0,1,1
u_039176,3,9,Morning,convenience_store,1,Tax,4,1,1,0,1
u_137671,3,9,Morning,campground,0,none,2,0,0,1,1
u_064234,1,14,Early Afternoon,zoo,1,Engagement,2,0,0,1,1
u_001858,0,6,Early Morning,transit_station,0,none,4,1,0,0,1
u_082366,4,16,Afternoon,tourist_attraction,0,none,2,0,0,0,1
u_176382,0,9,Morning,primary_school,0,none,2,0,0,0,0
u_190504,6,17,Late Afternoon,painter,0,none,0,0,0,0,0
u_199792,4,1,Night,stadium,0,none,4,0,0,0,1
u_020126,5,18,Dusk,electrician,1,Thanksgiving,2,0,0,0,1
u_089393,1,11,Late Morning,bank,1,National Immigrants Day,0,0,0,0,0
u_130489,1,8,Morning,shoe_store,1,Valentine’s Day,2,1,0,0,1
u_120773,3,6,Early Morning,train_station,1,Idaho Human Rights Day,1,0,0,0,0
u_185116,3,20,Evening,taxi_stand,0,none,1,1,0,1,1
u_176003,1,16,Afternoon,police,1,Midterm,1,0,1,0,1
u_112240,5,18,Dusk,subway_station,0,none,2,0,0,0,1
u_013721,4,10,Late Morning,courthouse,0,none,3,1,0,1,1
u_068837,6,17,Late Afternoon,embassy,1,Day After Christmas Day,1,1,0,0,1
u_156736,6,14,Early Afternoon,aquarium,1,National Wear Red Day,0,0,1,0,1
u_165467,2,14,Early Afternoon,plumber,1,National Parents’ Day,0,0,0,1,1
u_070682,3,16,Afternoon,embassy,0,none,7,0,0,0,1
u_019408,0,21,Late Evening,bar,1,Idaho Human Rights Day,9,1,0,0,1
u_024199,2,11,Late Morning,car_rental,0,none,2,0,0,0,0
u_049219,6,12,Noon or Midday,real_estate_agency,0,none,1,0,0,0,0
u_001687,5,17,Late Afternoon,electronics_store,1,Palm Sunday,0,0,0,0,1
u_043547,4,12,Noon or Midday,meal_delivery,0,none,2,0,0,0,0
u_073228,3,20,Evening,shopping_mall,0,none,2,0,0,0,1
u_033311,0,19,Early Evening,dentist,1,Bastille Day,0,0,0,0,1
u_071295,1,8,Morning,clothing_store,1,Patriot Day,1,1,0,0,1
u_132011,6,19,Early Evening,library,1,Armed Forces Day,0,0,0,1,1
u_006319,0,10,Late Morning,car_wash,0,none,8,0,0,1,1
u_001798,0,9,Morning,insurance_agency,0,none,2,0,0,0,0
u_034066,4,12,Noon or Midday,city_hall,0,none,2,1,0,0,1
u_096297,4,16,Afternoon,doctor,1,Pioneer Day,3,0,0,0,1
u_054870,4,9,Morning,parking,1,Training,0,1,0,0,1
u_107585,2,18,Dusk,hardware_store,1,National Parents’ Day,4,1,0,1,1
u_173655,6,17,Late Afternoon,plumber,0,none,7,0,0,0,1
u_025326,6,18,Dusk,moving_company,1,Wedding,0,0,0,0,1
u_171251,6,20,Evening,electrician,1,National Immigrants Day,6,0,0,0,1
u_150549,5,8,Morning,bicycle_store,1,Presidents’ Day,2,0,0,0,1
u_078453,0,15,Afternoon,spa,0,none,9,0,0,0,1
u_008257,3,17,Late Afternoon,library,0,none,1,0,0,0,0
u_054782,3,20,Evening,department_store,1,Patriot’s Day,0,0,1,0,1
u_147600,6,21,Late Evening,bar,1,National Wear Red Day,9,0,1,1,1
u_156273,5,10,Late Morning,park,1,Mardi Gras,10+,0,0,0,1
u_071933,6,23,Night,bar,0,none,1,0,0,0,0
u_171334,5,17,Late Afternoon,church,0,none,1,0,0,0,0
u_174465,6,11,Late Morning,church,1,Flag Day,6,0,1,0,1
u_048827,3,13,Early Afternoon,supermarket,0,none,2,0,0,0,1
u_174088,1,10,Late Morning,bicycle_store,1,Class,1,1,0,0,1
u_062122,2,11,Late Morning,primary_school,0,none,8,1,0,0,1
u_007779,0,11,Late Morning,church,1,Cinco de Mayo,3,1,0,0,1
u_064903,2,18,Dusk,car_repair,0,none,10+,0,0,0,1
u_173434,0,19,Early Evening,supermarket,0,none,1,0,0,1,1
u_180925,3,10,Late Morning,city_hall,0,none,8,0,0,0,1
u_080292,3,12,Noon or Midday,store,0,none,0,0,0,0,0
u_145578,0,10,Late Morning,bicycle_store,1,Idaho Human Rights Day,0,0,1,0,1
u_112475,2,9,Morning,store,0,none,0,0,0,0,0
u_005630,3,20,Evening,jewelry_store,1,Patriot Day,1,1,0,0,1
u_129682,0,14,Early Afternoon,shopping_mall,0,none,0,0,0,0,0
u_112210,2,22,Night,night_club,1,Small Business Saturday,10,0,1,1,1
u_119478,0,10,Late Morning,pharmacy,1,Halloween,10+,0,1,0,1
u_127249,6,13,Early Afternoon,home_goods_store,0,none,3,0,0,0,1
u_111294,2,12,Noon or Midday,electronics_store,1,Unity Day,5,0,1,0,1
u_169643,1,10,Late Morning,campground,1,Counseling,1,0,0,0,0
u_182156,2,19,Early Evening,car_repair,0,none,5,0,0,0,1
u_049471,2,18,Dusk,post_office,0,none,0,0,0,1,1
u_192241,1,13,Early Afternoon,convenience_store,0,none,3,0,0,0,1
u_025591,3,13,Early Afternoon,atm,1,Father’s Day,2,1,0,0,1
u_113800,6,14,Early Afternoon,painter,1,Presidents’ Day,0,0,0,0,0
u_034938,6,18,Dusk,furniture_store,0,none,3,0,0,0,0
u_131113,0,12,Noon or Midday,moving_company,0,none,0,0,0,0,0
u_190786,0,8,Morning,car_dealer,1,César Chávez Day,1,0,0,0,0
u_148977,6,10,Late Morning,gas_station,0,none,0,0,0,0,0
u_102596,4,11,Late Morning,painter,1,Reunion,0,0,0,0,0
u_031208,0,18,Dusk,meal_takeaway,0,none,0,0,0,0,0
u_198706,6,14,Early Afternoon,real_estate_agency,1,Marine Corps Birthday,0,0,0,1,1
u_012424,3,17,Late Afternoon,locksmith,0,none,1,1,0,0,1
u_090623,0,13,Early Afternoon,light_rail_station,0,none,2,0,0,0,1
u_021428,2,15,Afternoon,clothing_store,1,Patriot Day,7,0,0,0,1
u_045334,3,15,Afternoon,pet_store,1,New Year’s Eve,2,0,0,0,1
u_157053,5,15,Afternoon,rv_park,1,Counseling,6,0,1,0,1
u_136796,6,19,Early Evening,insurance_agency,1,Birthday,10,0,0,1,1
u_019672,1,20,Evening,parking,0,none,0,1,0,0,1
u_072275,6,11,Late Morning,liquor_store,1,Lei Day,4,0,0,0,1
u_153181,6,9,Morning,art_gallery,1,Nevada Day,10+,0,0,0,1
u_015432,5,13,Early Afternoon,roofing_contractor,1,Feast of the Immaculate Conception,0,0,1,0,1
u_179944,4,12,Noon or Midday,moving_company,1,Bastille Day,2,0,0,0,1
u_014683,5,13,Early Afternoon,police,1,Dinner,0,0,0,0,1
u_132463,5,13,Early Afternoon,meal_delivery,1,Rent Due,5,0,0,0,1
u_036512,4,9,Morning,insurance_agency,1,Road Trip,1,0,0,1,1
u_162702,1,10,Late Morning,atm,1,Cinco de Mayo,3,1,0,1,1
u_011740,6,15,Afternoon,tourist_attraction,1,Presidents’ Day,2,1,1,1,1
u_049833,0,18,Dusk,aquarium,0,none,2,1,0,0,1
u_081522,1,18,Dusk,zoo,1,Indigenous Peoples’ Day,1,1,0,1,1
u_072395,6,10,Late Morning,lawyer,0,none,0,0,0,0,0
u_061146,0,14,Early Afternoon,fire_station,1,Day After Thanksgiving,2,0,0,0,1
u_119394,6,8,Morning,travel_agency,1,Valentine’s Day,2,0,0,1,1
u_198252,5,20,Evening,bar,1,Mardi Gras,2,0,0,0,1
u_113238,0,15,Afternoon,liquor_store,0,none,1,0,0,0,0
u_042109,0,8,Morning,beauty_salon,1,Feast of Our Lady of Guadalupe,1,0,0,1,1
u_194993,4,8,Morning,synagogue,1,Movie,2,0,1,0,1
u_190623,0,11,Late Morning,library,0,none,8,1,0,0,1
u_121135,1,10,Late Morning,laundry,1,Nevada Day,7,0,0,1,1
u_021113,1,8,Morning,hardware_store,1,Columbus Day,0,1,0,0,1
u_114982,6,9,Morning,spa,0,none,0,0,0,0,0
u_129242,2,17,Late Afternoon,liquor_store,0,none,9,0,0,0,1
u_177233,4,17,Late Afternoon,travel_agency,0,none,1,1,0,0,1
u_093357,3,19,Early Evening,bakery,1,Counseling,8,0,1,1,1
u_055537,1,17,Late Afternoon,rv_park,1,Graduation,4,1,1,0,1
u_088059,0,8,Morning,transit_station,1,Day After Thanksgiving,6,0,0,0,1
u_195933,5,17,Late Afternoon,car_repair,1,Presentation,0,0,0,0,0
u_180216,3,16,Afternoon,movie_rental,1,Graduation,0,0,0,1,1
u_031579,0,14,Early Afternoon,cafe,1,Martin Luther King Jr. Day,6,0,0,0,1
u_005404,4,1,Night,bar,1,Martin Luther King Jr. Day,0,0,0,0,1
u_073337,5,7,Morning,secondary_school,1,Mardi Gras,2,1,0,1,1
u_034696,0,14,Early Afternoon,lawyer,1,Orthodox Easter,2,0,1,0,1
u_153721,1,12,Noon or Midday,fire_station,1,Susan B. Anthony’s Birthday,1,0,0,1,1
u_008147,1,17,Late Afternoon,park,1,Texas Independence Day,4,0,0,0,1
u_070593,6,19,Early Evening,shoe_store,1,Renewal,1,0,1,0,1
u_089414,6,13,Early Afternoon,car_rental,1,Groundhog Day,10+,0,0,0,1
u_160898,2,12,Noon or Midday,locksmith,1,Presidents’ Day,2,1,0,1,1
u_010244,1,14,Early Afternoon,pharmacy,1,Bunker Hill Day,0,0,0,0,1
u_108611,0,14,Early Afternoon,restaurant,1,Easter,1,0,0,0,1
u_055071,0,14,Early Afternoon,car_dealer,1,Tax,2,0,0,1,1
u_030511,2,13,Early Afternoon,movie_theater,0,none,1,0,0,0,0
u_099736,6,19,Early Evening,drugstore,0,none,2,0,0,0,1
u_042223,4,20,Evening,funeral_home,0,none,0,0,0,0,0
u_076082,5,10,Late Morning,lodging,0,none,10+,0,0,0,1
u_056935,4,18,Dusk,doctor,1,San Jacinto Day,5,0,1,1,1
u_169476,3,18,Dusk,shopping_mall,1,Emancipation Day,2,0,0,0,1
u_003678,2,15,Afternoon,hair_care,0,none,2,1,0,0,1
u_013289,3,9,Morning,veterinary_care,1,Idaho Human Rights Day,2,0,0,0,1
u_150022,1,16,Afternoon,courthouse,1,Labor Day,4,1,0,0,1
u_176702,5,2,Night,airport,0,none,1,0,0,0,0
u_081556,2,10,Late Morning,lawyer,0,none,2,0,0,1,1
u_060065,5,18,Dusk,amusement_park,1,Emancipation Day,4,0,0,0,1
u_159886,4,11,Late Morning,bank,1,Flight,1,0,0,0,0
u_037787,0,20,Evening,car_repair,0,none,7,1,0,0,1
u_074836,5,12,Noon or Midday,bowling_alley,1,Reunion,0,0,1,0,1
u_079769,0,8,Morning,electronics_store,0,none,10,0,0,0,1
u_090331,1,20,Evening,furniture_store,1,Women’s Equality Day,0,0,0,1,1
u_155713,1,18,Dusk,local_government_office,1,Black Friday,0,1,1,0,1
u_130806,5,8,Morning,rv_park,1,Day After Thanksgiving,1,0,1,1,1
u_179929,4,11,Late Morning,transit_station,0,none,0,0,0,0,0
u_186738,2,18,Dusk,hospital,1,Flight,1,0,0,1,1
u_004431,3,18,Dusk,embassy,1,Midterm,0,0,1,1,1
u_119645,4,13,Early Afternoon,park,0,none,10,0,0,0,1
u_108263,3,21,Late Evening,bar,1,Cinco de Mayo,10+,0,0,0,1
u_020853,0,12,Noon or Midday,library,0,none,0,1,0,0,1
u_157964,3,15,Afternoon,shopping_mall,1,National Vietnam War Veterans Day,2,1,1,0,1
u_085273,4,20,Evening,courthouse,1,Easter,2,0,0,0,1
u_079101,0,20,Evening,movie_rental,1,Black Friday,0,0,0,0,0
u_071651,0,6,Early Morning,veterinary_care,0,none,2,0,0,0,0
u_053451,2,10,Late Morning,funeral_home,1,Feast of Our Lady of Guadalupe,1,1,0,0,1
u_170642,2,2,Night,gas_station,0,none,2,0,0,0,0
u_068393,6,11,Late Morning,bank,1,Feast of St. Francis of Assisi,1,1,0,0,1
u_165433,6,9,Morning,hardware_store,1,Father’s Day,0,0,0,1,1
u_051887,6,10,Late Morning,insurance_agency,0,none,2,1,0,0,1
u_048978,3,7,Morning,train_station,0,none,3,0,0,0,0
u_065772,1,20,Evening,home_goods_store,0,none,2,1,0,0,1
u_038303,2,17,Late Afternoon,pharmacy,0,none,2,0,0,0,1
u_108645,0,18,Dusk,doctor,1,Presentation,1,0,0,1,1
u_086132,0,19,Early Evening,meal_takeaway,0,none,2,0,0,0,1
u_125251,4,16,Afternoon,department_store,1,Prince Jonah Kūhiō Kalaniana‘ole Day,0,1,0,0,1
u_188192,6,12,Noon or Midday,primary_school,1,Memorial Day,4,0,0,1,1
u_161233,4,18,Dusk,meal_takeaway,0,none,9,0,0,0,1
u_024433,6,20,Evening,bowling_alley,0,none,4,0,0,1,1
u_072516,6,17,Late Afternoon,light_rail_station,1,Kwanzaa,1,0,0,0,1
u_122830,3,14,Early Afternoon,laundry,0,none,0,1,0,0,1
u_056320,6,16,Afternoon,courthouse,1,Emancipation Day,2,1,1,0,1
u_028075,1,9,Morning,taxi_stand,0,none,9,0,0,0,0
u_062036,4,10,Late Morning,campground,1,Easter,5,0,0,0,1
u_094706,6,12,Noon or Midday,hardware_store,1,St. Patrick’s Day,2,1,0,0,1
u_031298,5,13,Early Afternoon,bicycle_store,1,Lecture,2,0,0,0,1
u_128981,3,17,Late Afternoon,gym,0,none,0,1,0,0,1
u_130030,2,18,Dusk,city_hall,0,none,0,0,0,0,0
u_065165,4,12,Noon or Midday,light_rail_station,0,none,0,0,0,0,0
u_104756,2,18,Dusk,store,0,none,1,0,0,0,0
u_096893,2,20,Evening,moving_company,1,Idaho Human Rights Day,2,0,1,0,1
u_074771,4,9,Morning,painter,1,Lecture,1,0,0,0,0
u_027502,2,19,Early Evening,restaurant,1,National Tartan Day,8,0,0,0,1
u_053134,4,15,Afternoon,city_hall,1,Birthday,1,0,0,0,1
u_021569,4,5,Dawn,bus_station,0,none,10,0,0,0,0
u_120674,3,9,Morning,university,0,none,0,0,0,0,0
u_087967,3,21,Late Evening,bar,1,National Wear Red Day,4,0,0,0,1
u_053830,5,8,Morning,hindu_temple,1,Indigenous Peoples’ Day,0,0,0,0,0
u_111220,1,11,Late Morning,gym,1,Birthday,6,0,1,0,1
